website_name,text
amazon,the charger worked for about a week and then completely stopped charging my phone.
amazon,The plug did not work very well.
amazon,"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls."
amazon,The price was very good and with the free shipping and all it was a good purchase.
amazon,I was very excited to get this headset because I thought it was really cute.
amazon,The phone loads super!
imdb,"This was a poor remake of ""My Best Friends Wedding"".  "
imdb,"The results, well, are a shame.  "
imdb,Everything stinks.  
imdb,It is an insane game.  
imdb,Now you know why I gave it a 10+!  
imdb,"In other words, the content level of this film is enough to easily fill a dozen other films.  "
yelp,But I definitely would not eat here again.
yelp,It really is impressive that the place hasn't closed down.
yelp,The turkey and roast beef were bland.
yelp,This is a really fantastic Thai restaurant which is definitely worth a visit.
yelp,If you want a sandwich just go to any Firehouse!!!!!
yelp,Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.